solution,guesses,feedback
maybe,"['saris', 'lance', 'taupe', 'maybe']","[['absent', 'correct', 'absent', 'absent', 'absent'], ['absent', 'correct', 'absent', 'absent', 'correct'], ['absent', 'correct', 'absent', 'absent', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
holey,"['augur', 'twill', 'delft', 'wilco', 'stows', 'dices']","[['absent', 'absent', 'absent', 'absent', 'absent'], ['absent', 'absent', 'absent', 'present', 'absent'], ['absent', 'present', 'correct', 'absent', 'absent'], ['absent', 'absent', 'correct', 'absent', 'present'], ['absent', 'absent', 'present', 'absent', 'absent'], ['absent', 'absent', 'absent', 'correct', 'absent']]"
court,"['tokes', 'worth', 'rotor', 'court']","[['present', 'correct', 'absent', 'absent', 'absent'], ['absent', 'correct', 'present', 'present', 'absent'], ['present', 'correct', 'present', 'absent', 'absent'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
words,"['cross', 'damps', 'outer', 'filer', 'tapis', 'abbey']","[['absent', 'present', 'present', 'absent', 'correct'], ['present', 'absent', 'absent', 'absent', 'correct'], ['present', 'absent', 'absent', 'absent', 'present'], ['absent', 'absent', 'absent', 'absent', 'present'], ['absent', 'absent', 'absent', 'absent', 'correct'], ['absent', 'absent', 'absent', 'absent', 'absent']]"
lilts,"['sires', 'playa', 'hinds', 'kitty', 'waker', 'shyer']","[['absent', 'correct', 'absent', 'absent', 'correct'], ['absent', 'present', 'absent', 'absent', 'absent'], ['absent', 'correct', 'absent', 'absent', 'correct'], ['absent', 'correct', 'absent', 'correct', 'absent'], ['absent', 'absent', 'absent', 'absent', 'absent'], ['present', 'absent', 'absent', 'absent', 'absent']]"
blaze,"['smuts', 'felon', 'blade', 'blaze']","[['absent', 'absent', 'absent', 'absent', 'absent'], ['absent', 'present', 'present', 'absent', 'absent'], ['correct', 'correct', 'correct', 'absent', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
weber,"['threw', 'fewer', 'weber']","[['absent', 'absent', 'present', 'correct', 'present'], ['absent', 'correct', 'present', 'correct', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
dryer,"['prams', 'frock', 'grunt', 'dried', 'breed', 'wrier']","[['absent', 'correct', 'absent', 'absent', 'absent'], ['absent', 'correct', 'absent', 'absent', 'absent'], ['absent', 'correct', 'absent', 'absent', 'absent'], ['correct', 'correct', 'absent', 'correct', 'absent'], ['absent', 'correct', 'absent', 'correct', 'present'], ['absent', 'correct', 'absent', 'correct', 'correct']]"
barms,"['genet', 'yawls', 'maxis', 'damps', 'farms', 'barms']","[['absent', 'absent', 'absent', 'absent', 'absent'], ['absent', 'correct', 'absent', 'absent', 'correct'], ['present', 'correct', 'absent', 'absent', 'correct'], ['absent', 'correct', 'present', 'absent', 'correct'], ['absent', 'correct', 'correct', 'correct', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
nukes,"['hider', 'betel', 'bagel', 'glees', 'floes', 'aloes']","[['absent', 'absent', 'absent', 'correct', 'absent'], ['absent', 'absent', 'absent', 'correct', 'absent'], ['absent', 'absent', 'absent', 'correct', 'absent'], ['absent', 'absent', 'absent', 'correct', 'correct'], ['absent', 'absent', 'absent', 'correct', 'correct'], ['absent', 'absent', 'absent', 'correct', 'correct']]"
broad,"['skids', 'gyved', 'cloud', 'frond', 'broad']","[['absent', 'absent', 'absent', 'present', 'absent'], ['absent', 'absent', 'absent', 'absent', 'correct'], ['absent', 'absent', 'correct', 'absent', 'correct'], ['absent', 'correct', 'correct', 'absent', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
guess,"['plows', 'agars', 'gents', 'gives', 'guess']","[['absent', 'absent', 'absent', 'absent', 'correct'], ['absent', 'present', 'absent', 'absent', 'correct'], ['correct', 'present', 'absent', 'absent', 'correct'], ['correct', 'absent', 'absent', 'present', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
dodge,"['uvula', 'skint', 'promo', 'bower', 'heerd', 'chore']","[['absent', 'absent', 'absent', 'absent', 'absent'], ['absent', 'absent', 'absent', 'absent', 'absent'], ['absent', 'absent', 'present', 'absent', 'absent'], ['absent', 'correct', 'absent', 'present', 'absent'], ['absent', 'present', 'absent', 'absent', 'present'], ['absent', 'absent', 'present', 'absent', 'correct']]"
toxin,"['hints', 'joint', 'toxin']","[['absent', 'present', 'present', 'present', 'absent'], ['absent', 'correct', 'present', 'present', 'present'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
koine,"['fucks', 'biked', 'eking', 'koine']","[['absent', 'absent', 'absent', 'present', 'absent'], ['absent', 'present', 'present', 'present', 'absent'], ['present', 'present', 'correct', 'correct', 'absent'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
filer,"['admix', 'eying', 'kikes', 'fiber', 'firer', 'filer']","[['absent', 'absent', 'absent', 'present', 'absent'], ['present', 'absent', 'present', 'absent', 'absent'], ['absent', 'correct', 'absent', 'correct', 'absent'], ['correct', 'correct', 'absent', 'correct', 'correct'], ['correct', 'correct', 'absent', 'correct', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
vivid,"['story', 'naked', 'build', 'vivid']","[['absent', 'absent', 'absent', 'absent', 'absent'], ['absent', 'absent', 'absent', 'absent', 'correct'], ['absent', 'absent', 'present', 'absent', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
tools,"['acing', 'jujus', 'bodes', 'worts', 'toffs', 'tolls']","[['absent', 'absent', 'absent', 'absent', 'absent'], ['absent', 'absent', 'absent', 'absent', 'correct'], ['absent', 'correct', 'absent', 'absent', 'correct'], ['absent', 'correct', 'absent', 'present', 'correct'], ['correct', 'correct', 'absent', 'absent', 'correct'], ['correct', 'correct', 'absent', 'correct', 'correct']]"
briar,"['adept', 'basin', 'briar']","[['present', 'absent', 'absent', 'absent', 'absent'], ['correct', 'present', 'absent', 'present', 'absent'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
pouch,"['feist', 'doggy', 'momma', 'pooch', 'hooch', 'colon']","[['absent', 'absent', 'absent', 'absent', 'absent'], ['absent', 'correct', 'absent', 'absent', 'absent'], ['absent', 'correct', 'absent', 'absent', 'absent'], ['correct', 'correct', 'absent', 'correct', 'correct'], ['absent', 'correct', 'absent', 'correct', 'correct'], ['present', 'correct', 'absent', 'absent', 'absent']]"
monic,"['holed', 'comas', 'monic']","[['absent', 'correct', 'absent', 'absent', 'absent'], ['present', 'correct', 'present', 'absent', 'absent'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
jello,"['darts', 'kluge', 'holey', 'jello']","[['absent', 'absent', 'absent', 'absent', 'absent'], ['absent', 'present', 'absent', 'absent', 'present'], ['absent', 'present', 'correct', 'present', 'absent'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
divan,"['pales', 'brant', 'ninja', 'gonad', 'avian', 'nomad']","[['absent', 'present', 'absent', 'absent', 'absent'], ['absent', 'absent', 'present', 'present', 'absent'], ['present', 'correct', 'absent', 'absent', 'present'], ['absent', 'absent', 'present', 'correct', 'present'], ['absent', 'present', 'present', 'correct', 'correct'], ['present', 'absent', 'absent', 'correct', 'present']]"
stews,"['fudgy', 'shirk', 'scamp', 'solon', 'sexes', 'stews']","[['absent', 'absent', 'absent', 'absent', 'absent'], ['correct', 'absent', 'absent', 'absent', 'absent'], ['correct', 'absent', 'absent', 'absent', 'absent'], ['correct', 'absent', 'absent', 'absent', 'absent'], ['correct', 'present', 'absent', 'absent', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
raked,"['fetal', 'saxes', 'paned', 'gazed', 'yawed', 'bared']","[['absent', 'present', 'absent', 'present', 'absent'], ['absent', 'correct', 'absent', 'correct', 'absent'], ['absent', 'correct', 'absent', 'correct', 'correct'], ['absent', 'correct', 'absent', 'correct', 'correct'], ['absent', 'correct', 'absent', 'correct', 'correct'], ['absent', 'correct', 'present', 'correct', 'correct']]"
fines,"['darks', 'plops', 'vexes', 'sties', 'gifts', 'fives']","[['absent', 'absent', 'absent', 'absent', 'correct'], ['absent', 'absent', 'absent', 'absent', 'correct'], ['absent', 'absent', 'absent', 'correct', 'correct'], ['absent', 'absent', 'present', 'correct', 'correct'], ['absent', 'correct', 'present', 'absent', 'correct'], ['correct', 'correct', 'absent', 'correct', 'correct']]"
limey,"['genes', 'outer', 'calms', 'gusty', 'bawdy', 'colds']","[['absent', 'absent', 'absent', 'correct', 'absent'], ['absent', 'absent', 'absent', 'correct', 'absent'], ['absent', 'absent', 'present', 'present', 'absent'], ['absent', 'absent', 'absent', 'absent', 'correct'], ['absent', 'absent', 'absent', 'absent', 'correct'], ['absent', 'absent', 'present', 'absent', 'absent']]"
putty,"['poker', 'panic', 'pulls', 'puppy', 'pudgy', 'putty']","[['correct', 'absent', 'absent', 'absent', 'absent'], ['correct', 'absent', 'absent', 'absent', 'absent'], ['correct', 'correct', 'absent', 'absent', 'absent'], ['correct', 'correct', 'absent', 'absent', 'correct'], ['correct', 'correct', 'absent', 'absent', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
spade,"['deals', 'spade']","[['present', 'present', 'correct', 'absent', 'present'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
dirty,"['spank', 'doggy', 'divvy', 'diddy', 'dicey', 'dizzy']","[['absent', 'absent', 'absent', 'absent', 'absent'], ['correct', 'absent', 'absent', 'absent', 'correct'], ['correct', 'correct', 'absent', 'absent', 'correct'], ['correct', 'correct', 'absent', 'absent', 'correct'], ['correct', 'correct', 'absent', 'absent', 'correct'], ['correct', 'correct', 'absent', 'absent', 'correct']]"
dated,"['yacht', 'talus', 'fated', 'gated', 'rated', 'mated']","[['absent', 'correct', 'absent', 'absent', 'present'], ['present', 'correct', 'absent', 'absent', 'absent'], ['absent', 'correct', 'correct', 'correct', 'correct'], ['absent', 'correct', 'correct', 'correct', 'correct'], ['absent', 'correct', 'correct', 'correct', 'correct'], ['absent', 'correct', 'correct', 'correct', 'correct']]"
pains,"['unsex', 'icons', 'pains']","[['absent', 'present', 'present', 'absent', 'absent'], ['present', 'absent', 'absent', 'correct', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
pasty,"['hexes', 'skimp', 'pasta', 'pssst', 'palsy', 'patsy']","[['absent', 'absent', 'absent', 'absent', 'present'], ['present', 'absent', 'absent', 'absent', 'present'], ['correct', 'correct', 'correct', 'correct', 'absent'], ['correct', 'absent', 'correct', 'absent', 'present'], ['correct', 'correct', 'absent', 'present', 'correct'], ['correct', 'correct', 'present', 'present', 'correct']]"
gibes,"['tunic', 'fishy', 'siege', 'mixes', 'pipes', 'sills']","[['absent', 'absent', 'absent', 'present', 'absent'], ['absent', 'correct', 'present', 'absent', 'absent'], ['present', 'correct', 'present', 'present', 'absent'], ['absent', 'correct', 'absent', 'correct', 'correct'], ['absent', 'correct', 'absent', 'correct', 'correct'], ['absent', 'correct', 'absent', 'absent', 'correct']]"
offer,"['fryer', 'playa', 'stump', 'bigot', 'pager', 'pulse']","[['present', 'absent', 'absent', 'correct', 'correct'], ['absent', 'absent', 'absent', 'absent', 'absent'], ['absent', 'absent', 'absent', 'absent', 'absent'], ['absent', 'absent', 'absent', 'present', 'absent'], ['absent', 'absent', 'absent', 'correct', 'correct'], ['absent', 'absent', 'absent', 'absent', 'present']]"
sells,"['muxes', 'goers', 'pends', 'wefts', 'jells', 'yells']","[['absent', 'absent', 'absent', 'present', 'correct'], ['absent', 'absent', 'present', 'absent', 'correct'], ['absent', 'correct', 'absent', 'absent', 'correct'], ['absent', 'correct', 'absent', 'absent', 'correct'], ['absent', 'correct', 'correct', 'correct', 'correct'], ['absent', 'correct', 'correct', 'correct', 'correct']]"
boffs,"['loess', 'damps', 'frown', 'playa', 'hulky', 'godly']","[['absent', 'correct', 'absent', 'absent', 'correct'], ['absent', 'absent', 'absent', 'absent', 'correct'], ['present', 'absent', 'present', 'absent', 'absent'], ['absent', 'absent', 'absent', 'absent', 'absent'], ['absent', 'absent', 'absent', 'absent', 'absent'], ['absent', 'correct', 'absent', 'absent', 'absent']]"
plead,"['slept', 'plead']","[['absent', 'correct', 'correct', 'present', 'absent'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
hooey,"['manly', 'dicey', 'hokey', 'hooey']","[['absent', 'absent', 'absent', 'absent', 'correct'], ['absent', 'absent', 'absent', 'correct', 'correct'], ['correct', 'correct', 'absent', 'correct', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
lambs,"['lipid', 'lance', 'lamas', 'largo', 'laugh', 'labor']","[['correct', 'absent', 'absent', 'absent', 'absent'], ['correct', 'correct', 'absent', 'absent', 'absent'], ['correct', 'correct', 'correct', 'absent', 'correct'], ['correct', 'correct', 'absent', 'absent', 'absent'], ['correct', 'correct', 'absent', 'absent', 'absent'], ['correct', 'correct', 'present', 'absent', 'absent']]"
fondu,"['knell', 'windy', 'mondo', 'bunds', 'hands', 'ponds']","[['absent', 'present', 'absent', 'absent', 'absent'], ['absent', 'absent', 'correct', 'correct', 'absent'], ['absent', 'correct', 'correct', 'correct', 'absent'], ['absent', 'present', 'correct', 'correct', 'absent'], ['absent', 'absent', 'correct', 'correct', 'absent'], ['absent', 'correct', 'correct', 'correct', 'absent']]"
gable,"['dater', 'canoe', 'sable', 'fable', 'gable']","[['absent', 'correct', 'absent', 'present', 'absent'], ['absent', 'correct', 'absent', 'absent', 'correct'], ['absent', 'correct', 'correct', 'correct', 'correct'], ['absent', 'correct', 'correct', 'correct', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
larks,"['boost', 'keens', 'milks', 'lucks', 'larks']","[['absent', 'absent', 'absent', 'present', 'absent'], ['present', 'absent', 'absent', 'absent', 'correct'], ['absent', 'absent', 'present', 'correct', 'correct'], ['correct', 'absent', 'absent', 'correct', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
nasal,"['bided', 'playa', 'moral', 'nasal']","[['absent', 'absent', 'absent', 'absent', 'absent'], ['absent', 'present', 'present', 'absent', 'present'], ['absent', 'absent', 'absent', 'correct', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
breed,"['plain', 'chewy', 'treks', 'freer', 'breve', 'freed']","[['absent', 'absent', 'absent', 'absent', 'absent'], ['absent', 'absent', 'correct', 'absent', 'absent'], ['absent', 'correct', 'correct', 'absent', 'absent'], ['absent', 'correct', 'correct', 'correct', 'absent'], ['correct', 'correct', 'correct', 'absent', 'present'], ['absent', 'correct', 'correct', 'correct', 'correct']]"
splay,"['dunes', 'hasty', 'scaly', 'splay']","[['absent', 'absent', 'absent', 'absent', 'present'], ['absent', 'present', 'present', 'absent', 'correct'], ['correct', 'absent', 'present', 'present', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
weeks,"['bents', 'dears', 'hexes', 'pesos', 'geeks', 'peeks']","[['absent', 'correct', 'absent', 'absent', 'correct'], ['absent', 'correct', 'absent', 'absent', 'correct'], ['absent', 'correct', 'absent', 'present', 'correct'], ['absent', 'correct', 'absent', 'absent', 'correct'], ['absent', 'correct', 'correct', 'correct', 'correct'], ['absent', 'correct', 'correct', 'correct', 'correct']]"
hypos,"['seers', 'damps', 'frown', 'playa', 'hulky', 'outer']","[['absent', 'absent', 'absent', 'absent', 'correct'], ['absent', 'absent', 'absent', 'present', 'correct'], ['absent', 'absent', 'present', 'absent', 'absent'], ['present', 'absent', 'absent', 'present', 'absent'], ['correct', 'absent', 'absent', 'absent', 'present'], ['present', 'absent', 'absent', 'absent', 'absent']]"
abaft,"['mynah', 'kabob', 'calve', 'award', 'razes', 'claws']","[['absent', 'absent', 'absent', 'present', 'absent'], ['absent', 'present', 'present', 'absent', 'absent'], ['absent', 'present', 'absent', 'absent', 'absent'], ['correct', 'absent', 'correct', 'absent', 'absent'], ['absent', 'present', 'absent', 'absent', 'absent'], ['absent', 'absent', 'correct', 'absent', 'absent']]"
tacit,"['trice', 'tonic', 'tacit']","[['correct', 'absent', 'present', 'present', 'absent'], ['correct', 'absent', 'absent', 'correct', 'present'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
aired,"['neons', 'fiver', 'hired', 'aired']","[['absent', 'present', 'absent', 'absent', 'absent'], ['absent', 'correct', 'absent', 'correct', 'present'], ['absent', 'correct', 'correct', 'correct', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
boffs,"['mussy', 'outer', 'wince', 'broth', 'codon', 'cumin']","[['absent', 'absent', 'present', 'absent', 'absent'], ['present', 'absent', 'absent', 'absent', 'absent'], ['absent', 'absent', 'absent', 'absent', 'absent'], ['correct', 'absent', 'present', 'absent', 'absent'], ['absent', 'correct', 'absent', 'absent', 'absent'], ['absent', 'absent', 'absent', 'absent', 'absent']]"
ghost,"['shnor', 'bhoys', 'ghost']","[['present', 'correct', 'absent', 'present', 'absent'], ['absent', 'correct', 'correct', 'absent', 'present'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
umbra,"['dwell', 'himbo', 'barms', 'umbra']","[['absent', 'absent', 'absent', 'absent', 'absent'], ['absent', 'absent', 'present', 'present', 'absent'], ['present', 'present', 'present', 'present', 'absent'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
cants,"['goads', 'mynas', 'panes', 'wants', 'rants', 'cants']","[['absent', 'absent', 'present', 'absent', 'correct'], ['absent', 'absent', 'correct', 'present', 'correct'], ['absent', 'correct', 'correct', 'absent', 'correct'], ['absent', 'correct', 'correct', 'correct', 'correct'], ['absent', 'correct', 'correct', 'correct', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
maria,"['frosh', 'rivet', 'unrig', 'maria']","[['absent', 'present', 'absent', 'absent', 'absent'], ['present', 'present', 'absent', 'absent', 'absent'], ['absent', 'absent', 'correct', 'correct', 'absent'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
prowl,"['smile', 'dolor', 'klugy', 'bulky', 'lofty', 'royal']","[['absent', 'absent', 'absent', 'present', 'absent'], ['absent', 'present', 'present', 'absent', 'present'], ['absent', 'present', 'absent', 'absent', 'absent'], ['absent', 'absent', 'present', 'absent', 'absent'], ['present', 'present', 'absent', 'absent', 'absent'], ['present', 'present', 'absent', 'absent', 'correct']]"
fiefs,"['dacha', 'frown', 'files', 'fiefs']","[['absent', 'absent', 'absent', 'absent', 'absent'], ['correct', 'absent', 'absent', 'absent', 'absent'], ['correct', 'correct', 'absent', 'present', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
umiak,"['woods', 'kenaf', 'umiak']","[['absent', 'absent', 'absent', 'absent', 'absent'], ['present', 'absent', 'absent', 'correct', 'absent'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
epics,"['quilt', 'brisk', 'swipe', 'epics']","[['absent', 'absent', 'correct', 'absent', 'absent'], ['absent', 'absent', 'correct', 'present', 'absent'], ['present', 'absent', 'correct', 'present', 'present'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
farts,"['spurs', 'damps', 'outer', 'pixel', 'brine', 'junks']","[['absent', 'absent', 'absent', 'present', 'correct'], ['absent', 'correct', 'absent', 'absent', 'correct'], ['absent', 'absent', 'present', 'absent', 'present'], ['absent', 'absent', 'absent', 'absent', 'absent'], ['absent', 'present', 'absent', 'absent', 'absent'], ['absent', 'absent', 'absent', 'absent', 'correct']]"
chase,"['memes', 'frown', 'fitly', 'filer', 'bawdy', 'whizz']","[['absent', 'present', 'absent', 'absent', 'present'], ['absent', 'absent', 'absent', 'absent', 'absent'], ['absent', 'absent', 'absent', 'absent', 'absent'], ['absent', 'absent', 'absent', 'present', 'absent'], ['absent', 'present', 'absent', 'absent', 'absent'], ['absent', 'correct', 'absent', 'absent', 'absent']]"
ducky,"['dying', 'dowry', 'daffy', 'dumpy', 'dusky', 'ducky']","[['correct', 'present', 'absent', 'absent', 'absent'], ['correct', 'absent', 'absent', 'absent', 'correct'], ['correct', 'absent', 'absent', 'absent', 'correct'], ['correct', 'correct', 'absent', 'absent', 'correct'], ['correct', 'correct', 'absent', 'correct', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
naive,"['tired', 'image', 'naive']","[['absent', 'present', 'absent', 'present', 'absent'], ['present', 'absent', 'present', 'absent', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
druid,"['cults', 'rerun', 'amour', 'unhip', 'umber', 'vogue']","[['absent', 'present', 'absent', 'absent', 'absent'], ['present', 'absent', 'absent', 'present', 'absent'], ['absent', 'absent', 'absent', 'present', 'present'], ['present', 'absent', 'absent', 'correct', 'absent'], ['present', 'absent', 'absent', 'absent', 'present'], ['absent', 'absent', 'absent', 'present', 'absent']]"
ivied,"['calks', 'toped', 'rewed', 'fixed', 'feued', 'unwed']","[['absent', 'absent', 'absent', 'absent', 'absent'], ['absent', 'absent', 'absent', 'correct', 'correct'], ['absent', 'absent', 'absent', 'correct', 'correct'], ['absent', 'present', 'absent', 'correct', 'correct'], ['absent', 'absent', 'absent', 'correct', 'correct'], ['absent', 'absent', 'absent', 'correct', 'correct']]"
bossa,"['sizes', 'antsy', 'crash', 'balsa', 'bossa']","[['present', 'absent', 'absent', 'absent', 'present'], ['present', 'absent', 'absent', 'correct', 'absent'], ['absent', 'absent', 'present', 'correct', 'absent'], ['correct', 'absent', 'absent', 'correct', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
bogie,"['canoe', 'rouge', 'goose', 'bogie']","[['absent', 'absent', 'absent', 'present', 'correct'], ['absent', 'correct', 'absent', 'present', 'correct'], ['present', 'correct', 'absent', 'absent', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
firms,"['strew', 'carps', 'dorms', 'firms']","[['present', 'absent', 'correct', 'absent', 'absent'], ['absent', 'absent', 'correct', 'absent', 'correct'], ['absent', 'absent', 'correct', 'correct', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
mazer,"['itchy', 'frown', 'raper', 'rupee', 'reels', 'puree']","[['absent', 'absent', 'absent', 'absent', 'absent'], ['absent', 'present', 'absent', 'absent', 'absent'], ['absent', 'correct', 'absent', 'correct', 'correct'], ['present', 'absent', 'absent', 'correct', 'absent'], ['present', 'present', 'absent', 'absent', 'absent'], ['absent', 'absent', 'present', 'correct', 'absent']]"
ocean,"['prods', 'motet', 'kebob', 'oxeye', 'ovule', 'ounce']","[['absent', 'absent', 'present', 'absent', 'absent'], ['absent', 'present', 'absent', 'present', 'absent'], ['absent', 'present', 'absent', 'present', 'absent'], ['correct', 'absent', 'correct', 'absent', 'absent'], ['correct', 'absent', 'absent', 'absent', 'present'], ['correct', 'absent', 'present', 'present', 'present']]"
mists,"['outer', 'thanx', 'kilty', 'gifts', 'wists', 'mists']","[['absent', 'absent', 'present', 'absent', 'absent'], ['present', 'absent', 'absent', 'absent', 'absent'], ['absent', 'correct', 'absent', 'correct', 'absent'], ['absent', 'correct', 'absent', 'correct', 'correct'], ['absent', 'correct', 'correct', 'correct', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
triad,"['trove', 'truth', 'tract', 'trial', 'track', 'train']","[['correct', 'correct', 'absent', 'absent', 'absent'], ['correct', 'correct', 'absent', 'absent', 'absent'], ['correct', 'correct', 'present', 'absent', 'absent'], ['correct', 'correct', 'correct', 'correct', 'absent'], ['correct', 'correct', 'present', 'absent', 'absent'], ['correct', 'correct', 'present', 'present', 'absent']]"
sprat,"['tunas', 'strap', 'sprat']","[['present', 'absent', 'absent', 'correct', 'present'], ['correct', 'present', 'correct', 'correct', 'present'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
fraud,"['train', 'craws', 'braze', 'graph', 'drama', 'kraal']","[['absent', 'correct', 'correct', 'absent', 'absent'], ['absent', 'correct', 'correct', 'absent', 'absent'], ['absent', 'correct', 'correct', 'absent', 'absent'], ['absent', 'correct', 'correct', 'absent', 'absent'], ['present', 'correct', 'correct', 'absent', 'absent'], ['absent', 'correct', 'correct', 'absent', 'absent']]"
kraal,"['nitty', 'lords', 'haler', 'brawl', 'kraal']","[['absent', 'absent', 'absent', 'absent', 'absent'], ['present', 'absent', 'present', 'absent', 'absent'], ['absent', 'present', 'present', 'absent', 'present'], ['absent', 'correct', 'correct', 'absent', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
styli,"['clack', 'holds', 'spelt', 'styli']","[['absent', 'present', 'absent', 'absent', 'absent'], ['absent', 'absent', 'present', 'absent', 'present'], ['correct', 'absent', 'absent', 'correct', 'present'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
barfy,"['sirup', 'cordy', 'jerky', 'array', 'barmy', 'harry']","[['absent', 'absent', 'correct', 'absent', 'absent'], ['absent', 'absent', 'correct', 'absent', 'correct'], ['absent', 'absent', 'correct', 'absent', 'correct'], ['present', 'absent', 'correct', 'absent', 'correct'], ['correct', 'correct', 'correct', 'absent', 'correct'], ['absent', 'correct', 'correct', 'absent', 'correct']]"
clomp,"['early', 'clout', 'clomp']","[['absent', 'absent', 'absent', 'present', 'absent'], ['correct', 'correct', 'correct', 'absent', 'absent'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
scent,"['thump', 'nitty', 'stalk', 'onset', 'stint', 'filet']","[['present', 'absent', 'absent', 'absent', 'absent'], ['present', 'absent', 'present', 'absent', 'absent'], ['correct', 'present', 'absent', 'absent', 'absent'], ['absent', 'present', 'present', 'present', 'correct'], ['correct', 'absent', 'absent', 'correct', 'correct'], ['absent', 'absent', 'absent', 'present', 'correct']]"
downy,"['pinky', 'nutty', 'lawny', 'downy']","[['absent', 'absent', 'present', 'absent', 'correct'], ['present', 'absent', 'absent', 'absent', 'correct'], ['absent', 'absent', 'correct', 'correct', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
naked,"['eared', 'playa', 'hinds', 'frown', 'facto', 'waltz']","[['absent', 'correct', 'absent', 'correct', 'correct'], ['absent', 'absent', 'present', 'absent', 'absent'], ['absent', 'absent', 'present', 'present', 'absent'], ['absent', 'absent', 'absent', 'absent', 'present'], ['absent', 'correct', 'absent', 'absent', 'absent'], ['absent', 'correct', 'absent', 'absent', 'absent']]"
roman,"['prima', 'mayor', 'roman']","[['absent', 'present', 'absent', 'present', 'present'], ['present', 'present', 'absent', 'present', 'present'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
basil,"['fouls', 'steal', 'basil']","[['absent', 'absent', 'absent', 'present', 'present'], ['present', 'absent', 'absent', 'present', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
cater,"['polos', 'curia', 'chard', 'cater']","[['absent', 'absent', 'absent', 'absent', 'absent'], ['correct', 'absent', 'present', 'absent', 'present'], ['correct', 'absent', 'present', 'present', 'absent'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
worth,"['opens', 'mouth', 'worth']","[['present', 'absent', 'absent', 'absent', 'absent'], ['absent', 'correct', 'absent', 'correct', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
nymph,"['plaid', 'steep', 'morph', 'humph', 'nymph']","[['present', 'absent', 'absent', 'absent', 'absent'], ['absent', 'absent', 'absent', 'absent', 'present'], ['present', 'absent', 'absent', 'correct', 'correct'], ['absent', 'absent', 'correct', 'correct', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
tweak,"['tonic', 'turfy', 'talks', 'tweak']","[['correct', 'absent', 'absent', 'absent', 'absent'], ['correct', 'absent', 'absent', 'absent', 'absent'], ['correct', 'present', 'absent', 'present', 'absent'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
tales,"['punts', 'maths', 'taels', 'tales']","[['absent', 'absent', 'absent', 'present', 'correct'], ['absent', 'correct', 'present', 'absent', 'correct'], ['correct', 'correct', 'present', 'present', 'correct'], ['correct', 'correct', 'correct', 'correct', 'correct']]"
